LAT,LON,YEAR,MONTH,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,ALLSKY_SFC_SW_DWN,WS2M,TS,EVLAND,GWETROOT
13.5,122.5,2019,FEB,28.77,22.76,0.9,76.19,20.74,4.91,26.2,4.34,0.77
14.5,122.5,2019,FEB,27.09,24.28,1.44,76.2,19.71,5.55,26.49,4.01,0.85
15.5,122.5,2019,FEB,27.02,24.53,0.95,75.83,20.64,4.95,26.62,,
13.5,122.5,2020,FEB,28.67,23.19,8.02,80.35,18.15,6.51,26.07,5.06,0.9
14.5,122.5,2020,FEB,27.43,24.56,11.75,78.87,16.52,7.21,26.62,4.9,0.93
15.5,122.5,2020,FEB,27.34,24.51,2.21,78.19,17.58,7.03,26.97,,
13.5,122.5,2021,FEB,29.14,22.66,10.67,83.27,16.7,5.54,26.48,4.64,0.97
14.5,122.5,2021,FEB,27.75,23.89,9.97,82.26,15.3,6.2,26.6,4.53,0.97
15.5,122.5,2021,FEB,27.58,24.07,3.36,81.28,15.49,6.33,26.89,,
13.5,122.5,2022,FEB,29.09,24.5,7.22,83.13,16.56,5.77,26.75,4.71,0.93
14.5,122.5,2022,FEB,27.73,25.81,6.88,81.97,16.19,6.51,26.95,4.52,0.96
15.5,122.5,2022,FEB,27.46,25.83,3.21,81.3,17.09,6.37,27.13,,
13.5,122.5,2023,FEB,28.77,24.18,8.59,84.29,15.79,6.18,26.26,4.85,0.96
14.5,122.5,2023,FEB,27.4,25.35,7.68,82.26,15.11,6.8,26.47,4.61,0.96
15.5,122.5,2023,FEB,27.8,25.29,3.49,80.66,16.79,6.97,27.1,,
13.5,122.5,2024,FEB,29.5,23.94,2.08,79.88,19.25,5.46,26.68,4.66,0.83
14.5,122.5,2024,FEB,27.93,24.91,1.88,78.57,18.64,6.33,27.07,4.01,0.84
15.5,122.5,2024,FEB,27.47,25.21,0.82,78.59,19.62,6.05,27.32,,
13.5,122.5,2025,FEB,29.15,23.95,12.07,84.22,16.05,5.29,26.86,4.6,0.98
14.5,122.5,2025,FEB,28.12,25.21,10.92,83.03,14.41,6.34,26.88,4.52,0.99
15.5,122.5,2025,FEB,27.5,24.94,5.84,82.28,14.67,6.51,26.99,,
13.5,122.5,1990,MAR,30.65,23.65,1.7,73.94,22.39,4.77,27.89,3.59,0.63
14.5,122.5,1990,MAR,27.86,25.01,1.61,76.91,20.72,5.49,27.13,3.38,0.74
15.5,122.5,1990,MAR,27.09,25.19,0.57,77.76,20.23,5.14,26.83,,
13.5,122.5,1991,MAR,30.04,23.24,2.77,74.78,21.63,5.02,27.44,4.16,0.69
14.5,122.5,1991,MAR,27.7,24.93,2.04,77.28,21.05,5.65,27.08,3.98,0.81
15.5,122.5,1991,MAR,28.09,24.97,0.72,77.31,21.99,5.09,26.98,,
13.5,122.5,1992,MAR,30.92,23.77,0.7,72.91,22.24,4.56,28.59,3.38,0.61
14.5,122.5,1992,MAR,28.1,24.83,1.08,77.83,21.51,5.4,27.54,2.85,0.69
15.5,122.5,1992,MAR,27.52,25.01,0.92,78.74,21.9,4.75,27.38,,
13.5,122.5,1993,MAR,30.37,23.57,1.96,75.15,20.36,4.86,27.31,3.99,0.69
14.5,122.5,1993,MAR,28.71,24.46,2.56,77.35,20.05,5.73,26.64,3.8,0.79
15.5,122.5,1993,MAR,27.12,24.1,1.02,77.82,20.42,5.44,26.23,,
13.5,122.5,1994,MAR,29.96,23.91,2.92,78.95,19.74,5.58,27.49,4.54,0.74
14.5,122.5,1994,MAR,27.91,25.19,3.03,79.73,18.9,6.33,27.12,4.07,0.82
15.5,122.5,1994,MAR,27.78,25.1,2.07,79.83,18.94,6.12,27.07,,
13.5,122.5,1995,MAR,30.71,23.18,0.51,73.97,20.99,4.83,27.83,3.4,0.62
14.5,122.5,1995,MAR,27.6,24.2,2.33,77.3,20.19,5.56,26.95,3.78,0.79
15.5,122.5,1995,MAR,27.14,23.96,1.58,77.06,19.89,5.04,26.81,,
13.5,122.5,1996,MAR,30.04,23.53,4.08,81.94,19.1,5.33,26.86,4.34,0.81
14.5,122.5,1996,MAR,28.44,24.42,3.98,81.63,19.64,6.0,26.67,4.13,0.88
15.5,122.5,1996,MAR,27.76,24.3,1.4,80.3,20.08,5.72,26.9,,
13.5,122.5,1997,MAR,30.63,22.71,1.8,76.76,20.34,4.48,27.05,4.24,0.73
14.5,122.5,1997,MAR,28.1,24.02,2.71,78.58,20.1,5.19,26.54,4.19,0.84
15.5,122.5,1997,MAR,27.24,24.12,1.24,78.5,20.39,5.04,26.41,,
13.5,122.5,1998,MAR,31.32,24.22,1.2,69.06,20.87,5.04,29.3,2.47,0.51
14.5,122.5,1998,MAR,29.47,25.43,1.6,74.21,20.79,5.63,28.18,2.57,0.64
15.5,122.5,1998,MAR,27.95,25.69,0.98,75.33,21.15,5.2,27.85,,
13.5,122.5,1999,MAR,29.91,24.79,10.57,83.87,18.05,4.69,27.56,4.49,0.94
14.5,122.5,1999,MAR,28.69,25.05,12.89,83.67,17.88,5.18,27.33,4.52,0.96
15.5,122.5,1999,MAR,28.18,24.28,7.3,82.81,18.87,4.82,27.3,,
13.5,122.5,2000,MAR,29.53,24.75,8.58,85.74,15.92,4.86,27.14,4.15,0.96
14.5,122.5,2000,MAR,27.86,25.88,12.94,85.3,15.27,5.73,27.03,4.16,0.98
15.5,122.5,2000,MAR,28.02,25.84,6.94,83.72,15.46,5.84,27.1,,
13.5,122.5,2001,MAR,29.76,24.91,5.25,82.04,19.14,4.99,27.67,4.57,0.92
14.5,122.5,2001,MAR,29.9,25.69,6.42,81.09,18.52,5.76,27.63,4.48,0.95
15.5,122.5,2001,MAR,29.44,25.81,4.35,80.08,19.57,5.74,27.92,,
13.5,122.5,2002,MAR,30.4,22.75,3.04,78.79,20.35,5.3,27.27,4.14,0.7
14.5,122.5,2002,MAR,28.21,23.62,3.35,80.56,20.22,5.99,26.68,3.95,0.81
15.5,122.5,2002,MAR,27.47,23.56,1.29,79.85,21.34,5.6,26.8,,
13.5,122.5,2003,MAR,30.96,23.64,1.11,75.18,21.41,4.92,28.43,3.08,0.58
14.5,122.5,2003,MAR,27.96,24.64,1.56,79.41,20.67,5.63,27.23,3.06,0.72
15.5,122.5,2003,MAR,27.44,24.52,0.67,78.92,21.01,5.16,26.91,,
13.5,122.5,2004,MAR,30.96,24.0,3.5,80.12,19.78,4.52,27.84,4.17,0.71
14.5,122.5,2004,MAR,28.16,25.22,4.43,82.63,19.24,5.03,27.17,4.7,0.91
15.5,122.5,2004,MAR,27.83,24.72,1.76,81.99,19.85,5.13,27.32,,
13.5,122.5,2005,MAR,31.15,23.59,3.12,77.41,20.73,5.12,27.83,3.56,0.65
14.5,122.5,2005,MAR,28.41,24.1,4.69,80.76,18.95,5.68,26.91,3.6,0.78
15.5,122.5,2005,MAR,27.82,23.96,3.2,80.04,18.81,5.46,26.87,,
13.5,122.5,2006,MAR,30.58,24.57,4.74,80.06,20.89,4.26,27.56,4.79,0.84
14.5,122.5,2006,MAR,28.65,25.62,5.57,80.72,19.92,5.14,27.31,4.54,0.9
15.5,122.5,2006,MAR,27.9,25.29,4.85,80.48,20.0,4.94,27.12,,
13.5,122.5,2007,MAR,30.48,24.06,2.24,76.05,21.2,4.54,27.95,4.13,0.69
14.5,122.5,2007,MAR,28.94,25.45,1.62,77.4,21.06,5.36,27.58,3.4,0.75
15.5,122.5,2007,MAR,28.21,25.6,1.33,77.68,20.88,4.99,27.54,,
13.5,122.5,2008,MAR,30.12,23.46,5.25,83.12,19.25,4.28,27.08,4.93,0.95
14.5,122.5,2008,MAR,28.58,24.19,5.98,82.59,17.84,5.2,27.02,4.8,0.96
15.5,122.5,2008,MAR,27.69,24.04,2.64,81.6,18.98,5.21,27.2,,
13.5,122.5,2009,MAR,30.47,24.7,4.89,79.8,20.95,4.01,27.91,4.93,0.87
14.5,122.5,2009,MAR,28.73,25.7,5.99,80.98,19.36,4.65,27.71,4.62,0.91
15.5,122.5,2009,MAR,28.45,26.26,2.8,80.27,19.09,4.59,28.1,,
